indice,estrellas,comentario,pos_tags,noun_phrases,entities,entity_density
1881,,super fun felt safe fun get resort hours statues beautiful,"['VERB', 'VERB', 'NOUN', 'PROPN', 'NOUN', 'ADJ', 'VERB', 'ADV', 'ADJ', 'NOUN']","['felt', 'fun']","[{'text': 'super fun felt', 'label': 'MISC'}, {'text': 'get resort', 'label': 'PER'}]",0.2
1904,,tons food options vendors unique unique great place hang love place,"['NOUN', 'ADJ', 'NOUN', 'ADV', 'ADJ', 'ADJ', 'ADJ', 'NOUN', 'ADJ', 'ADV', 'NOUN']",['tons food'],[],0.0
2453,,super fun felt safe fun get resort hours statues beautiful,"['VERB', 'VERB', 'NOUN', 'PROPN', 'NOUN', 'ADJ', 'VERB', 'ADV', 'ADJ', 'NOUN']","['felt', 'fun']","[{'text': 'super fun felt', 'label': 'MISC'}, {'text': 'get resort', 'label': 'PER'}]",0.2
2476,,tons food options vendors unique unique great place hang love place,"['NOUN', 'ADJ', 'NOUN', 'ADV', 'ADJ', 'ADJ', 'ADJ', 'NOUN', 'ADJ', 'ADV', 'NOUN']",['tons food'],[],0.0
3258,,point group could choir true,"['NOUN', 'ADV', 'ADJ', 'NOUN', 'ADJ']","['point', 'could choir true']","[{'text': 'group could', 'label': 'PER'}]",0.2
5191,,experience excellent unforgettable professional much fun recommend trying,"['NOUN', 'ADJ', 'ADJ', 'ADJ', 'ADJ', 'AUX', 'VERB', 'PROPN']","['experience excellent unforgettable professional much fun', 'trying']",[],0.0
5385,,richie amazing super fun made sure got line enjoyed come visit beautiful tour energy,"['NOUN', 'ADJ', 'VERB', 'VERB', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'ADV', 'VERB', 'ADV', 'ADJ']","['richie amazing', 'fun made sure', 'line enjoyed come']","[{'text': 'amazing super', 'label': 'MISC'}]",0.07142857142857142
5729,,experience excellent unforgettable professional much fun recommend trying,"['NOUN', 'ADJ', 'ADJ', 'ADJ', 'ADJ', 'AUX', 'VERB', 'PROPN']","['experience excellent unforgettable professional much fun', 'trying']",[],0.0
5827,,excellent experience guides zip lines best friendly transport driver turned,"['ADJ', 'NOUN', 'X', 'NOUN', 'ADJ', 'ADV', 'ADJ', 'NOUN', 'VERB', 'NOUN']","['excellent experience guides', 'zip lines', 'transport']","[{'text': 'zip lines best', 'label': 'MISC'}]",0.1
5853,,excellent service attitude guides beautiful place make feel confident recommended,"['ADJ', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADV', 'VERB']","['excellent service attitude', 'beautiful place make']",[],0.0
