cantidad de estrellas,Comentarios
4,"Muy bonito el lugar el problema es que si no llevas sombria o comida tienes que ir a un restaurante y tienen que consumir todos a fuerzas y aparte te exigen la propina. Te reciben muy bien pero luego ya andan atrás de ti que consumas más, no hay señal y no hay wifi gratuito. La playa está hermosa y muy bonita. Recomiendo más llevar tus cosas para pasar un rato más agradable."
5,"Una playa hermosa que me encantó 🤍. A pesar de las restricciones pet friendly en Huatulco, respetando las reglas y con los cuidados necesarios, Morita pudo estar tranquila y feliz 🐶🌴. Además, en el restaurante Las Hamacas fueron muy amables, el servicio excelente y la comida deliciosa. 🌊 🍤"
5,Great beach with lots of food options. Not busy during weekdays in early February. We had grilled whole fish and shrimp dish here. Very fresh!
5,"Playa Maguey fue una de mis playas favoritas, estuvimos en el restaurante las Hamacas y el servicio de sillas, camastros y sombrillas lo rentan por consumo de alimentos por persona , es decir que te va a salir en 600 aprox si solo comes, si bebes o consumes más pues ya depende de cada quien. La comida si está buena en este restaurante y los precios son elevados pero considerando que estás en la playa y llena de turistas extranjeros pues se entienden los precios. En cuanto a la playa, de ese lado del restaurante, no aconsejo que se metan personas que no sepan nadar ya que el oleaje es algo fuertecito y en la tarde se vuelve más bravo, es mejor que estén de lado de los primeros restaurantes, ahí está más tranquilo el mar . Es un lugar hermoso."
4,"Playa muy bonita, tranquila, Pero ⚠️ cuidado... No traten con los de las motos que te abordan en el camino, ya que te dicen que si a todo con tal de llevarte restaurante con quién tienen trato, yo se que así se ganan la vida , pero no a base de mentiras.... A la hora de pagar te cobran hasta la risa y los granitos de arena que te llevas en los pies.... Mejor traten directo en el restaurante que elijan"
4,"Beautiful beach. I went here on a Sunday so it was very crowded. But overall water was nice and kids had fun. We rented a table and ordered food at a restaurant called Super. I didn’t do much research before going. Our taxi driver recommended this restaurant. Their food was good, we used the WiFi and bathrooms were available at no extra charge. There were no showers. We paid total 1700 pesos which included 150 tip. We ordered 3 pc fish tacos, shrimp pizza, pop, orange juice, 2 non-alcohol mojitos and pina colada. Mojito was better. Staff was kind and service was great. We had no issues with the restaurant. Only downside is the location which is right in front of the boat docking area. It was super crowded. We kept bumping into people and getting splashed in the face. That’s how crowded it was. I don’t swim but my husband went swimming a bit far out and said it was one of the best snorkelling experiences. My 3 year old had a great time as well and my 4 month old slept through the noise. The left side of the beach is slightly more shallow and crowded and the far right side is more peaceful."
5,Excelente lugar para descansar y aprovechar las vista del actuario. Lo único abusivos son los taxis....me toco uno color verde del sitio de la crucita que cobro 120..el regreso a santa cruz. Abusivo..solo en esto tengan cuidado...pregunte antes de abordar....ya que deben cobrar 80.. pesos.....las palapas ya cuentas con energía y aceptan pagos con tarjeta....y algo más hasta generan factura por si la necesitan....fue un buen avance en estos temas de comodidad en servicio.
5,"Esta increíble esta playa! Tranquila, lo único malo y considero es que el espacio para las embarcaciones es grande, para nadar y hacer snorkel genial"
5,"Excelente playa para visitar, es un lugar que se encuentra muy limpio, la comida es muy buena, ideal para niños solo que del lado izquierdo de la playa, porque del lado derecho, las olas son más fuertes y puede ocurrir un accidente."
5,"El lugar es hermoso, esta limpio, si hay gente pero nadie se mete con nadie y no es necesario consumir algo de comida, puedes instalarte donde tu lo desees."
4,Really enjoyed the snorkeling along the rocky side of the bay. We saw many species of fish. The morning was lovely but by the afternoon on a Friday the beach became extremely busy. I recommend you visit on any other week day.
5,"Es una playa maravillosa con muy poco oleaje, es ideal para nadar con palapas alrededor para poder comer con ambiente familiar"
5,Una de las mejores playas de Huatulco el agua Clarita para observan pescaditos y pasar un rato muy agradable en familia
4,"Playa Maguey es una bahía agradable, con olas moderadas y rincones tranquilos para relajarse sin prisas. Es ideal para pasar el día entre mar y arena, y de regreso hacia Huatulco vale la pena detenerse en el faro para ver el atardecer. Un plan sencillo pero que se disfruta muchísimo."
4,"Una playa muy limpia, agradable, buen ambiente familiar, aguas tranquilas y hay varios restaurantes para comer."
4,"Bonito lugar para comer, nadar y recorrer en lancha, la experiencia de la lancha es muy recomendable porque te llevan a recorrer gran parte de las bahías de Huatulco y la experiencia es muy enriquecedora, de ahí en fuera es una experiencia normal, la playa normal, los restaurantes normal, nada extraordinario. Personalmente lo más valorable es recorrer las bahías en lancha y conocer toda esa parte."
3,"Buena playa, pero me imaginé en Acapulco, muchos restaurantes y es pequeña. En la temporada que fui (Enero finales) tenía oleaje alto y agua revuelta"
5,"Excelente playa para nadar, es muy tranquila. Para comer recomiendo restaurant el pescador."
4,El lugar es muy bonito. Hay un arrecife muy cerca de la playa al que se puede llegar nadando. Recomiendo llevar equipo de snorkel. Lo cierto es que la comida es muy cara y de porciones pequeñas y los meseros son muy mal educados.
5,Es un lugar tranquilo. Bonito y especial para niños. Hay yates que te llevan de paseo a practicar snorkel por una cantidad. La comida es rica y variada.
5,"Esta muy bonito,a playa parece alberca, sin olas y se come muy rico, nosotros nos quedamos en la palapa de ""DOÑA SILVIA"" y está muy rica la comida y bien preparada. Hay paseo en lancha y para hacer snorckel."
5,Great beach 🏖️ and you don't need snorkeling gear with just some goggles your good since the fishes are really close to the ocean shore
