lugar,estrellas,texto
catedral_la_paz,5,excelente lugar para orar
catedral_la_paz,5,esta muy bien conservada y llena de historia
catedral_la_paz,5,small church was getting a little face up when were there
catedral_la_paz,5,es un lugar que se debe visitar
catedral_la_paz,5,muy linda y el padre explicar muy bien
catedral_la_paz,5,preciosa la iglesia
catedral_la_paz,5,good place to see
catedral_la_paz,5,muy bonita la catedral
catedral_la_paz,5,hermosos sitio
catedral_la_paz,5,pretty church definitely worth taking a look
catedral_la_paz,5,muy bonito lugar
catedral_la_paz,5,la catedral de nuestra senora de la paz es una iglesia bastante linda al entrar puedes tener la sensacion de espiritualidad en la que las personas que acuden a rezar o a meditar pueden tener esa conexion con sus creencias se pide que al ingresar a la iglesia no se haga tanto ruido y se respete al igual que a las personas que estan en su interior esta se encuentra en el centro historico de la ciudad esta frente al jardin y a un par de calles del malecon cerca de la catedral puedes encontrar una diversidad de comercios en los que puedes encontrar comida y souvenirs una iglesia bastante bonita importante e historica ya que es la catedral mas grande de la paz baja california sur
catedral_la_paz,5,iglesia catolica muy acogedora
catedral_la_paz,5,simplemente glorioso y hermoso
catedral_la_paz,5,esta enclavada en un area historica de la ciudad excelente y hermoso zona familiar recreativo el templo es parte de esa belleza
catedral_la_paz,5,iconic and historic building in la paz there sun and moon always give it a glow no matter what time of day you visit this place inspire you to stop and breathe deeply
catedral_la_paz,5,recomiendo para pasar y adorar el santisimo un lugar religioso de mucha paz
catedral_la_paz,5,arquitectura neoclassica
catedral_la_paz,4,una bonita capilla
catedral_la_paz,5,muy bien cuidada y remodelada su estructura externa su color exterior muestra una vista muy bella
catedral_la_paz,5,esta bonita
catedral_la_paz,5,la catedral de nuestra senora de la paz es un verdadero icono de la ciudad su fachada colonial y el imponente campanario iluminado al atardecer crean una atmosfera unica que combina historia espiritualidad y belleza arquitectonica el interior transmite paz y solemnidad ideal para quienes buscan un momento de reflexion ademas su ubicacion en el corazon de la paz la convierte en un punto de referencia obligado tanto para visitantes como para locales incluso desde afuera con el cielo pintado de colores al caer la tarde la vista es simplemente espectacular
catedral_la_paz,4,always room for improvements
catedral_la_paz,4,un templo sencillo con belleza sencilla
catedral_la_paz,5,beautiful building great for some reflection
catedral_la_paz,5,sencilla pero muy linda el atrio en el que se encuentra tambien es muy tranquilo ideal para sentarse a descansar un rato llegar antes de las 10 o despues de las 11 para no interrumpir la misa de esa hora
catedral_la_paz,4,gran construccion y muy bonita catedral
catedral_la_paz,5,tuve la oportunidad de visitar ya que hace 40 anos no lo hice
catedral_la_paz,5,me gusta mucho ya que esta muy cerca del malecon y frente de un kiosco
catedral_la_paz,5,catedral bonita mas de noche
catedral_la_paz,5,hermoso lugar muy original
catedral_la_paz,5,bonita catedral
catedral_la_paz,5,tranquilidad y armonia bello
catedral_la_paz,4,lugar caracteristico que se debe visitar en su visita a la paz bcs
catedral_la_paz,5,una catedral muy bonita en frente del kiosko
catedral_la_paz,5,por estar la catedral a solo 3 cuadras de nuestro domicilio es el lugar de nuestra preferencia al que durante 45 anos acostumbramos acudir cada domingo a presenciar la celebracion dominical
catedral_la_paz,5,cultivar la relacion iglesia fe con lo psicosocial entre individuos seres y comunidades geopoliticas de un entorno configurado para un proposito conceptual y metafisico a un orden constitucional y encaminandonos a una aptitud social
catedral_la_paz,5,sat in a spanish sermon on christmas day with my mexican christian brothers and sisters in la paz feliz navidad
catedral_la_paz,5,bonito lugar
catedral_la_paz,5,una iglesia muy tradicional y bonita de un lugar magico
catedral_la_paz,5,beautiful historic cathedral in downtown la paz mexico
catedral_la_paz,4,muy bonita
catedral_la_paz,5,hermosa catedral y toda la ciudad de la paz
catedral_la_paz,5,hermosa catedral son bendecidos de tenerla ahi con uds en la paz
catedral_la_paz,5,una bellissima missione dove si puo trovare una fortissimo spiritualita impossibile non votarla se si va a la paz
catedral_la_paz,4,linda catedral del pueblo
catedral_la_paz,4,buen lugar para ceremonias religiosas solo que al no contar con aire acondicionado se hace imposible a veces soportar una misa entera
catedral_la_paz,3,iglesia linda
catedral_la_paz,5,peaceful lil church by the park square
catedral_la_paz,5,pacifico y hermoso
catedral_la_paz,5,very nice and quaint church several spots to take photos inside and out the la paz city sign is across the street from this church and the city plaza is across the stree as well they had several stained glass ones depicting our lords life and tribulations
catedral_la_paz,5,muy bonita la iluminacion de la catedral de noche
catedral_la_paz,5,hermoso templo franciscano sencillo y sobrio testigo de la historia
catedral_la_paz,5,muy bonito limpio agradable el mes de octubre para poder caminar clima excelente
catedral_la_paz,5,bello lugar para visitar en la paz una buena oportunidad para reconectar y tomar una espectaculares fotos
catedral_la_paz,5,hermoso muy hermoso con las decoraciones y todo lo demas cuenta si historia conforme la vas viendo muy bonito
catedral_la_paz,5,para el creyente catolico es una visita casi obligada se venera a nuestra senora de la paz
catedral_la_paz,5,sencilla y muy hermosa nuestra catedral
catedral_la_paz,5,iglesia en el centro de la ciudad bien cuidada y bien mantenida
catedral_la_paz,5,la casa de dios muy bonita misa y bella su catedral
catedral_la_paz,5,iglesia bonita por dentro lugar recomendado para turistas
catedral_la_paz,5,me encanta
catedral_la_paz,5,hermoso recinto
catedral_la_paz,5,bonita catedral para pasar caminando
catedral_la_paz,4,very cool from the outside
catedral_la_paz,5,nice cathedral with a very beautiful front
catedral_la_paz,5,me gusto mucho la arquitectura del templo muy bonita iglesia y me encanto que si habia agua bendita
catedral_la_paz,5,un lugar muy bonito
catedral_la_paz,5,catedral sobria elegante con una gran plaza de acceso
catedral_la_paz,5,bonito lugar para orar y meditar
catedral_la_paz,5,muy bonita catedral
catedral_la_paz,4,no hay lugar de estacionamiento
catedral_la_paz,5,muy bella catedral de la paz baja california sur
catedral_la_paz,5,la catedral de la paz es muy bonita
catedral_la_paz,4,agradable lugar de descanso esparcimiento y meditacion
catedral_la_paz,1,no abre los domingos dia del senor
catedral_la_paz,5,bello lugar
catedral_la_paz,5,un lugar muy emblematico de la paz y chido para la foto
catedral_la_paz,5,hermosa arquitectura
catedral_la_paz,5,bonita arquitectura
catedral_la_paz,5,la verdad es un sitio iconico de nuestra querida ciudad fundada en el ano de 1720 simboliza nuestro sentido de pertenencia y orgullo de nuestras raices sudcalifornianassu ubicacion en el mero centro historico permite a nuestros visitantes conocer un cachito de esta ciudad tan historica y cultural
catedral_la_paz,5,bonita la catedral del puerto de la paz en centro historico
catedral_la_paz,5,muy tranquilo y en paz
catedral_la_paz,5,its a beautiful church with a lot of history it is beside a relaxing park with a pavillion so many cool places to visit this area like the malecon local stores and ice cream shops
catedral_la_paz,5,muy bonito lugar lara visitar frente a el parque rodeado de vendedores
catedral_la_paz,4,bonita la catedral
catedral_la_paz,5,es un lugar magico
catedral_la_paz,5,muy bonito el templo
catedral_la_paz,5,muy espiritual
catedral_la_paz,5,es un edificio hermoso que data del tiempo de la conquista
catedral_la_paz,5,hermosa misa
catedral_la_paz,4,iglesia pequena un estilo arquitectonico muy diferente al que se ve en las iglesias del centro y sur del pais si andas por el rumbo vale la pena visitar
catedral_la_paz,3,la vi descuidada
catedral_la_paz,5,excelente jardin y bastantes lugares para tomar helado o cafe
catedral_la_paz,4,si vas a la paz tienes que ver este lugar ya que forma parte del grupo de catedrales de mexico por la noche se puede ver bellamente iluminada la catedral de la paz es la sede de la diocesis de la paz en baja california sur se ubica en el centro de la ciudad de la paz baja california sur esta ubicada en el lugar donde se levanto la mision fundada por los jesuitas en el siglo xviii el templo actual se levanto hacia la segunda mitad del siglo xix por ordenes del obispo juan francisco escalante y moreno de estilo neoclasico sobrio en el exterior presenta una sencilla fachada y dos torres las cuales guardan semejanza con las de los templos norteamericanos el interior del templo posee bellos retablos barrocos del siglo xviii los cuales provienen de otras misiones que corrieron la suerte de ser abandonadas fuente wikipedia catedrales de mexico
catedral_la_paz,5,lugar de paz y reencuentro conmigo mismo
catedral_la_paz,5,buetiful little cathedral in la paz most go
catedral_la_paz,5,beautiful cathedral
catedral_la_paz,5,esta muy linda y la plaza de enfrente esta super tranquila con muchos arboles para tomar sombra
catedral_la_paz,5,hermosa catedral muy moderna que invita a la oracion y a la reflexion
catedral_la_paz,2,esta bien cuidada y demas pero no se me hizo linda
